miasto;dzielnica;ulica;cena;powierzchnia;cena_m2;pokoje;pietro;liczba_pieter;liczba_poziomow;liczba_lazienek;lazienka_powierzchnia;lazienka_wc;rynek;rok_budowy;liczba_sypialni;balkon;taras;balkon_powierzchnia;kuchnia_powierzchnia;kuchnia_typ;ogrodek_powierzchnia;typ_budynku;material_budowlany;stan_budynku;stan_nieruchomosci
Gdañsk;Jasie;;299 000;32,61;9168,97;2;2 / 4;4;;;;;wtórny;2020;1;;;;;;;;;;
Gdañsk M.;Gdañsk;Przymorze Wielkie,;870 000;64,00;13 593,75;3;6 / 17;17;;1;;razem;wtórny;;2;;;;;aneks kuchenny - po³¹czony z salonem;;apartamentowiec;;;idealny
Gdañsk;Œródmieœcie;ul. Chmielna;Zapytaj o c;189,20;;2;6 / 7;7;2;1;;;pierwotny;2018;;;;;;;;;;;
Gdañsk;Œródmieœcie;ul. Chmielna;Zapytaj o c;25,40;;1;5 / 7;7;1;1;;;pierwotny;2018;;;;;;;;;;;
Gdañsk;Œródmieœcie;ul. Chmielna;Zapytaj o c;36,80;;1;2 / 6;6;1;1;;;pierwotny;2018;;;;;;;;;;;
Gdañsk;Œródmieœci;;318 541;27,11;11 749,94;1;2 / 5;5;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Wrzeszcz;ul. Grudzi¹dzka 12;Zapytaj o c;68,99;;3;4;;;;;;pierwotny;2021;;Tak;;9,98;;;;;;;
Gdañsk;£ostowice;ul. Ofiar Grudnia 70;Zapytaj o c;55,39;;3;1;;;;;;pierwotny;2022;;Tak;;6,56;;;;;;;
Gdañsk;Jasieñ;ul. Lawendowe Wzgórza;Zapytaj o c;52,22;;3;3;;;;;;pierwotny;2021;;Tak;;5,28;;;;;;;
Gdañsk;Borkow;;301 925;46,50;6493,01;2;3 / 3;3;;;;;pierwotny;2020;;;;;;;;;;;
Gdañsk;£ostowic;;298 156;45,52;6550;2;parter / 3;3;;;;;pierwotny;2021;;Nie;Nie;;;;;;;;
Gdañsk;Borkow;;324 090;49,86;6500;2;3 / 3;3;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Letnica;ul. Starowiejska 50;Zapytaj o c;27,96;;1;10;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Moren;;449 000;48,00;9354,17;2;1 / 3;3;;;;;wtórny;2012;;;;;;;;;;;
Gdañsk;Jasieñ;ul. Potêgowska;Zapytaj o c;67,78;;2;3;;;;;;pierwotny;2020;;Tak;;3,65;;;;;;;
Gdañsk;Jasieñ;ul. Potêgowska;Zapytaj o c;74,41;;2;3;;;;;;pierwotny;2020;;Tak;;5,81;;;;;;;
Gdañsk;Jasieñ;ul. Lawendowe Wzgórza;Zapytaj o c;66,54;;3;2;;;;;;pierwotny;2021;;Tak;;8,88;;;;;;;
Gdañsk;Borkow;;335 052;54,48;6150;3;1 / 3;3;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;£ostowic;;349 900;57,92;6041,09;3;1 / 4;4;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;£ostowic;;332 892;52,84;6300;3;parter / 3;3;;;;;pierwotny;2021;;Nie;Nie;;;;;;;;
Gdañsk;£ostowic;;346 363;57,25;6050;3;2 / 3;3;;;;;pierwotny;2021;;Nie;Nie;;;;;;;;
Gdañsk;£ostowic;;359 000;61,19;5866,97;4;1 / 4;4;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;£ostowic;;378 000;66,50;5684,21;4;2 / 4;4;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Jasie;;389 000;57,32;6786,46;4;parter / 1;1;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Ujeœcisko-£ostowice;Warszawska 51 C;650 000;89,06;7298,45;2;1 / 1;1;;;;;wtórny;;;;;;;;;;;;
Gdañsk;Ujeœcisko-£ostowice;Warszawska 51 C;390 000;47,26;8252,22;1;parter / 1;1;;;;;wtórny;;;;;;;;;;;;
Gdañsk;Borkowsk;;305 240;46,96;6500;2;3 / 3;3;;1;;;pierwotny;2021;;Tak;;;;ANEKS KUCHENNY;;NISKI BLOK;;;DO WYKOÑCZENIA
